system,ndcg@10,recall@10,mrr,recall@1,p_value
BM25 Okapi,0.02083198500704629,0.03489771359807461,0.01656809702086477,0.010429201764941836,baseline
Dense zero-shot (no FT),0.0026840917078314788,0.005716004813477738,0.001767886590389599,0.0006016847172081829,—
"Bi-encoder, mean, random",0.0692564621761321,0.12264340152426795,0.053076033528801275,0.029783393501805054,—
"Dual encoder, mean, random",0.06348028435155365,0.11482150020056157,0.04781192895663413,0.024067388688327317,—
"Dual encoder, mean, BM25-neg",0.06547750614809231,0.11662655435218612,0.049961638619881704,0.02707581227436823,—
Hybrid BM25 + Dual (RRF),0.061125661210802325,0.10519454472523064,0.047634726440382275,0.026474127557160047,—
